,volatility,beta_static,rolling_beta,rolling_volatility,ma_50,ma_200
20MICRONS.BO,0.5069675361426375,0.8368340180489602,1.078427321503997,0.02711211479582251,91.8949887084961,88.33521020889282
21STCENMGM.BO,0.42868176438461203,0.318504933774348,-0.012889996401535644,0.012088587522638649,21.991060523986818,24.444360551834105
3MINDIA.BO,0.3071868950195691,0.6275916056492369,0.4834067176448901,0.00841198180501052,22395.851796875,20913.56083984375
63MOONS.BO,0.6290557966380776,0.932511461471262,1.197159266079358,0.026610575760502617,153.83025787353515,182.45943466186523
A2ZINFRA.BO,0.6256942857943774,1.0322576077906243,0.773293780747085,0.030592785604523165,10.67079999923706,11.438649997711181
AARTIDRUGS.BO,0.4360774763685522,0.7067943222259084,0.5749918694212152,0.013044256204444707,455.74902709960935,442.9350823974609
AARTIIND.BO,0.35563025097917056,0.721918799100071,1.16007053935415,0.012975473737910028,665.9307946777344,688.3974209594727
AARVEEDEN.BO,0.6193279010460518,0.6632181163857807,0.6734298634912362,0.03162987161883054,25.082000045776372,24.201499977111816
ABAN.BO,0.5018434947661421,0.8893449010252001,0.7071155924496567,0.02933962147961125,49.68699981689452,49.9702499961853
ABB.BO,0.3240320181416199,0.7000212467673118,0.5531803923550559,0.015350945796373484,2975.7468505859374,2663.681154785156
ABBOTINDIA.BO,0.2585687782781391,0.3612747838802421,0.3240131116016944,0.009781585534573718,19542.457734375,18061.245537109375
ABFRL.BO,0.3881249695565831,0.7542542988127403,1.0560496518991276,0.013055236310894022,314.8210003662109,292.873249206543
ABHISHEK.BO,0.3800974544652363,-0.03243185816322567,0.0,0.0,0.5699999928474426,0.5699999928474426
ACC.BO,0.27234537864843106,0.8577061975445278,0.8311281002728418,0.015324909950617088,2476.79384765625,2286.476967163086
ACCELYA.BO,0.36969888480559,0.4677444957150182,0.7514695359476243,0.03117851375640657,1304.758193359375,968.4307492065429
ACE.BO,0.5623789899181584,1.248038150954176,1.1219117405902832,0.02953630680661885,314.40439697265623,254.06513328552245
ADANIENT.BO,0.5577809099977932,1.440191819139659,1.2290749780169388,0.02064953970783682,3836.7153076171876,2882.0741802978514
ADANIPORTS.BO,0.3742980467183126,1.1155017965190082,1.2896985023150986,0.01957335461653253,858.2870166015625,799.5956762695313
ADANIPOWER.BO,0.5366207117090799,1.3568275201424334,1.0845182701613207,0.026207628702765554,325.4609991455078,304.71149955749513
ADFFOODS.BO,0.4821815783500461,0.911428008236688,0.8837784324319652,0.03356398037141637,145.8249710083008,138.62516132354736
ADORWELD.BO,0.45529246222575437,0.9032408537070751,0.9441918975258149,0.02167021483962517,834.6243811035156,754.045932006836
ADSL.BO,0.6240385254616695,0.8816864312534936,0.947047417903416,0.025214298298548717,99.33962280273437,115.88322227478028
ADVANIHOTR.BO,0.5210393406695514,0.4802238039424045,0.88529583337533,0.025993377075386365,36.04858680725098,34.53497421264648
AEGISLOG.BO,0.48900005852572304,0.8274495965781701,0.9169019423579403,0.03227322918226786,320.46929321289065,252.13376869201656
AGARIND.BO,0.5379257375552488,0.5660495044090775,1.5138045582357598,0.019609406570523492,633.4262255859375,587.4133578491211
AHLEAST.BO,0.4967417048975579,0.47297523177278655,0.796160604620845,0.022539475403640232,116.98619644165039,146.62361225128174
AHLUCONT.BO,0.4800149521137791,0.778003446816078,0.7041041707689883,0.03593730756654546,443.61201171875,442.97999969482424
AHLWEST.BO,0.5198409286706533,0.17100533569750276,-0.07470584471135247,0.0,141.25,149.27325012207032
AIAENG.BO,0.31779167742571435,0.4174587182980912,0.47708912056152303,0.013936689856562315,2661.315908203125,2295.7557513427732
AIFL.BO,0.3562050190436543,0.17334135477592125,0.0,0.0,1.350000023841858,1.350000023841858
AJANTPHARM.BO,0.366916797283155,0.4985900890673813,0.27612112192555677,0.016839658027542167,1206.0167407226563,1197.646417236328
AJMERA.BO,0.5546055634445646,1.266737714682982,1.1981213359165495,0.05426429556388732,278.38373931884763,277.0806602478027
AKSHOPTFBR.BO,0.5507501008864912,0.7189255883337076,1.0285141798623927,0.029509712322290747,10.344200038909912,10.560999994277955
AKZOINDIA.BO,0.24550201991154658,0.5053322502375834,0.2428855646247801,0.009509135510285488,2085.6184619140627,1851.1877642822265
ALANKIT.BO,0.5475575724280087,0.6738328365682161,0.6972480574576511,0.023015385343645695,11.096399993896485,11.884533257484437
ALCHEM.BO,0.5419389098724217,0.4374310859863071,0.0,0.0,3.009999990463257,3.009999990463257
ALEMBICLTD.BO,0.4907478349139093,0.8787239192726456,1.0645210389169322,0.018419497464908858,71.56022262573242,69.69828454971314
ALICON.BO,0.5162961081511697,0.8353113332112001,0.7984193425530569,0.024183063187004056,923.9753991699218,774.3912619018555
ALKALI.BO,0.6212475997758427,0.9127138494548972,0.9323748898938219,0.04876141934543763,124.54043472290039,95.26311719894409
ALKYLAMINE.BO,0.4538271027033899,0.7617557214122234,0.8490477465219812,0.013056076865194255,2819.3357421875,2861.2622265625
ALLCARGO.BO,0.422285843043464,0.6687213365644785,,,-5.036185455322266,-4.1602353405952455
ALMONDZ.BO,0.6706639760948355,0.3678142912591787,0.8771256143237905,0.027200332059025036,12.72683310508728,14.69302053451538
ALNATRD.BO,0.0,0.0,0.0,0.0,28.950000762939453,28.950000762939453
ALPA.BO,0.597161841673943,0.7030532573306603,1.0084693546453691,0.051577669205435356,58.557999801635745,64.39824970245361
ALPHAGEO.BO,0.5946849084876579,1.0005558884653143,1.2629917257464074,0.016198203094747975,265.5753149414062,278.2007480621338
ALPSINDUS.BO,0.6745062941759745,0.3308942749378964,0.24367649113106635,0.02566935708395344,2.269199995994568,3.1132999819517138
AMBIKCO.BO,0.38074287535833995,0.5297101703455369,1.153557033864239,0.01881484226340016,1475.1840112304687,1689.7457250976563
AMBUJACEM.BO,0.30016197893143487,0.9339919454514994,0.8219657107160369,0.02202982872383057,552.5005639648438,430.9810275268555
AMDIND.BO,0.5928932922295483,0.5206235446613774,0.8244438034357523,0.04407386545984607,62.981000061035154,59.758041286468504
AMRUTANJAN.BO,0.41875143217504185,0.7991123353968135,0.2655482139941772,0.008076806352433559,705.157451171875,762.2508871459961
ANANTRAJ.BO,0.5407191046609755,1.2968559553159025,1.498280010959786,0.036322470698370364,105.50628356933593,77.67053609848023
ANDHRSUGAR.BO,0.5014798066565475,0.7420311737048713,0.9096762828007394,0.02232343546843872,130.74999603271485,133.81723430633545
ANDREWYU.BO,0.5317885569359306,0.9576001255363589,1.017487013999037,0.05369686738640048,24.35781223297119,22.562768230438234
ANIKINDS.BO,0.5650100864067518,0.4403516834322399,0.880239151488293,0.03128989712124299,39.570000076293944,34.57999996185303
ANSALAPI.BO,0.5724213239048327,0.9212711978309457,0.19653601573927046,0.03398778837684633,21.430000019073486,17.90829999446869
ANSALHSG.BO,0.5922536522745155,0.8634122107946692,0.8999997874020257,0.04669513749242576,4.48340000629425,6.26619999051094
APARINDS.BO,0.41637726413949033,0.7120346427065125,0.6823558859210274,0.023206460661998548,1534.8206298828125,1088.3761068725587
APCL.BO,0.5547660420194911,0.7850745699094382,1.1856823967483086,0.02687984857405173,224.1710006713867,232.80683471679689
APCOTEXIND.BO,0.5393982965374959,0.728301980436247,0.6512157395986775,0.013867803399229505,477.047939453125,515.1558535766602
