Ticker,MarketCap,TrailingPE,ForwardPE,TrailingEPS,ForwardEPS,TotalRevenue,DividendYield,Beta,Sector,Industry,FullTimeEmployees,Sector_Encoded,Industry_Encoded
HDIL.BO,1630573824.0,,,-0.05,,361772000.0,,1.349,Real Estate,Real Estate - Diversified,,9,76
HEG.BO,69008932864.0,31.149828,10.7033825,11.48,,21643436032.0,1.26,1.631,Industrials,Electrical Equipment & Parts,1075.0,8,34
HEIDELBERG.BO,43592474624.0,41.81522,17.007072,4.6,11.31,21329700864.0,4.16,0.616,Basic Materials,Building Materials,1017.0,1,17
HERCULES.BO,5113600000.0,15.544747,40.558376,10.28,3.94,572982016.0,2.5,0.716,Industrials,Specialty Industrial Machinery,178.0,8,87
HERITGFOOD.BO,33545754624.0,17.608377,14.606061,20.53,,40366981120.0,0.69,0.871,Consumer Defensive,Packaged Foods,3225.0,4,68
HEROMOTOCO.BO,737420574720.0,17.793919,17.769049,207.2,207.49,405702901760.0,3.8,1.031,Consumer Cyclical,Auto Manufacturers,9225.0,3,9
HESTERBIO.BO,12764118016.0,40.651585,28.135195,36.91,53.33,3194609920.0,0.4,0.752,Healthcare,Drug Manufacturers - Specialty & Generic,642.0,7,32
HEXATRADEX.BO,12222889984.0,,,-4.12,,-5728000.0,,1.143,Financial Services,Credit Services,5.0,6,28
HFCL.BO,114309709824.0,31.086273,43.795578,2.55,1.81,45898600448.0,0.25,0.985,Technology,Communication Equipment,2114.0,10,22
HGS.BO,24539457536.0,,6.0216894,-3.17,87.6,43418234880.0,1.33,0.76,Industrials,Specialty Business Services,18169.0,8,85
HIKAL.BO,43297144832.0,58.137417,37.198093,6.04,9.44,18215000064.0,0.34,1.292,Healthcare,Drug Manufacturers - Specialty & Generic,2061.0,7,32
HIL.BO,13238803456.0,,8.917107,-11.06,196.88,35383259136.0,2.56,1.059,Industrials,Building Products & Equipment,1839.0,8,18
HILTON.BO,2017817984.0,88.6875,,0.96,,1522557056.0,,-0.097,Industrials,Metal Fabrication,60.0,8,60
HIMATSEIDE.BO,14208845824.0,15.716272,5.0110865,7.19,22.55,28181534720.0,0.22,0.52,Consumer Cyclical,Textile Manufacturing,7126.0,3,91
HINDALCO.BO,1408326828032.0,10.162608,21.844007,62.42,29.04,2296000020480.0,0.55,1.446,Basic Materials,Aluminum,71217.0,1,5
HINDCOMPOS.BO,6485067776.0,17.578064,,24.98,,3145042944.0,0.46,0.912,Consumer Cyclical,Auto Parts,556.0,3,10
HINDCOPPER.BO,195677306880.0,48.759037,,4.15,,19049261056.0,0.45,1.863,Basic Materials,Copper,1302.0,1,27
HINDMOTORS.BO,4671875072.0,14.445161,,1.55,,41275000.0,,1.078,Consumer Cyclical,Auto Manufacturers,235.0,3,9
HINDOILEXP.BO,23816964096.0,14.282316,,12.61,,6670908928.0,,1.188,Energy,Oil & Gas E&P,112.0,5,63
HINDPETRO.BO,625898225664.0,10.382986,7.4904504,28.33,39.27,4370208129024.0,7.14,0.924,Energy,Oil & Gas Refining & Marketing,8154.0,5,66
HINDUNILVR.BO,5149831462912.0,47.845448,64.82697,45.81,33.81,626610012160.0,1.96,0.201,Consumer Defensive,Household & Personal Products,19427.0,4,46
HINDZINC.BO,1651043729408.0,17.577599,16.173428,22.23,24.16,316949987328.0,8.96,0.728,Basic Materials,Other Industrial Metals & Mining,3557.0,1,67
HIRAUTO.BO,,39.884792,,,,,,,Unknown,Unknown,,11,97
HIRECT.BO,14506772480.0,45.05597,,18.76,,6216763904.0,0.14,0.307,Industrials,Electrical Equipment & Parts,425.0,8,34
HITECHCORP.BO,2916433920.0,20.047226,,8.47,,5507630080.0,0.59,0.997,Consumer Cyclical,Packaging & Containers,655.0,3,69
HITECHGEAR.BO,11585068032.0,23.977053,32.8423,25.71,18.77,9989489664.0,0.81,1.466,Consumer Cyclical,Auto Parts,552.0,3,10
HMT.BO,17612965888.0,,,-4.14,,1514467968.0,,0.628,Industrials,Farm & Heavy Construction Machinery,714.0,8,39
HMVL.BO,6138485760.0,14.249146,6.1397057,5.86,13.6,7196899840.0,,0.739,Communication Services,Publishing,1163.0,2,73
HONAUT.BO,298005200896.0,56.18001,41.937016,599.95,803.71,40257998848.0,0.3,0.5,Industrials,Electrical Equipment & Parts,3096.0,8,34
HONDAPOWER.BO,19727314944.0,33.110317,26.993753,58.74,72.05,7567099904.0,0.51,0.844,Industrials,Specialty Industrial Machinery,742.0,8,87
HOVS.BO,592594752.0,16.0034,33.133804,2.94,1.42,212222000.0,,0.783,Technology,Information Technology Services,405.0,10,47
HRMNYCP.BO,180684192.0,,,-1.41,,64000.0,,-0.365,Financial Services,Capital Markets,,6,20
HSCL.BO,201742729216.0,39.06788,27.426174,10.46,,46549401600.0,0.12,0.766,Basic Materials,Specialty Chemicals,920.0,1,86
HTMEDIA.BO,4216963584.0,,3.0032947,-1.63,6.07,17564700672.0,,0.437,Communication Services,Publishing,1521.0,2,73
HUBTOWN.BO,27069806592.0,,20.732325,-7.43,,4175127040.0,,1.119,Real Estate,Real Estate - Development,61.0,9,75
ICICIBANK.BO,8505099026432.0,17.543015,16.258108,68.58,,1755256586240.0,0.83,0.833,Financial Services,Banks - Regional,187765.0,6,11
ICIL.BO,52325867520.0,16.002424,10.300196,16.51,25.65,42220871680.0,0.83,1.161,Consumer Cyclical,Textile Manufacturing,3626.0,3,91
ICRA.BO,50984538112.0,31.645071,26.106405,167.47,,4857728000.0,0.75,0.304,Financial Services,Financial Data & Stock Exchanges,1238.0,6,42
ICSA.BO,,,,,,,,,Unknown,Unknown,,11,97
