cluster,ticker1,ticker2,pvalue,hurst,beta,alpha
0,3MINDIA.BO,BOSCHLTD.BO,0.8940518370873791,0.4175529805265189,0.3658150217888563,3.843079700625542e-17
0,3MINDIA.BO,SHREECEM.BO,0.22156377813885042,0.3701587376949165,0.9346197866696154,3.9498319145318064e-17
0,BOSCHLTD.BO,SHREECEM.BO,0.5823225783757462,0.5086026330197672,0.4139974683919782,-8.967185968126261e-17
1,APOLLOTYRE.BO,BHARATFORG.BO,0.04350856828709128,0.46217054035047267,0.905507557916168,-1.5372318802502167e-16
1,APOLLOTYRE.BO,CHAMBLFERT.BO,0.5494495746332726,0.5025984477032438,0.5879047469182055,-9.821203679376387e-17
1,APOLLOTYRE.BO,MUNJALAU.BO,0.8627106794931436,0.45025814416238213,0.8495474972681484,-2.2417964920315658e-17
1,BHARATFORG.BO,CHAMBLFERT.BO,0.4954582653844101,0.4858265709445171,0.7434398934245293,-2.989061989375422e-17
1,BHARATFORG.BO,MUNJALAU.BO,0.5959087958859721,0.4217970051188587,0.8515913901651815,1.4571677198205177e-16
1,CHAMBLFERT.BO,MUNJALAU.BO,0.9367237222874586,0.47239212993615837,0.5321802855705857,1.0515093069767105e-16
2,BALRAMCHIN.BO,NCLIND.BO,0.8810027182347275,0.48809934008802913,0.7068865662372483,1.2543385133986143e-16
2,BALRAMCHIN.BO,SUNTV.BO,0.9794948720316811,0.5213798828392224,0.34449902613456473,1.142248688797036e-16
2,BALRAMCHIN.BO,SUPERHOUSE.BO,0.9447644986090518,0.4934401068237037,0.44814497341599036,1.0995478032345296e-16
2,NCLIND.BO,SUNTV.BO,0.33261803051377437,0.4034471312702036,0.8019984727125673,2.4819889733206626e-17
2,NCLIND.BO,SUPERHOUSE.BO,0.7346139604465505,0.49382408733776373,0.5065581269675842,1.6333088727658547e-16
2,SUNTV.BO,SUPERHOUSE.BO,0.6060244579101497,0.47817648486360803,0.3237661930389263,3.8430797006255405e-17
3,SUBROS.BO,SUNDRMBRAK.BO,0.7925903863786137,0.4069914569777268,0.6588684039582633,1.515881437468964e-16
3,SUBROS.BO,TI.BO,0.8779203254681182,0.4295599140333938,-0.07053109178217584,-2.47665136262535e-16
3,SUNDRMBRAK.BO,TI.BO,0.4463955679744286,0.43726169220345684,-0.3372628635663085,-9.821203679376388e-17
4,BLUESTARCO.BO,DRREDDY.BO,0.7462333259578748,0.5045391812699254,0.7271560496442333,8.540177112501202e-18
4,BLUESTARCO.BO,GRINDWELL.BO,0.3317471562807385,0.4055125887997317,0.8794922514837402,9.607699251563853e-18
4,BLUESTARCO.BO,LUPIN.BO,0.9589351367889691,0.43481541342142493,-0.1617973706915514,1.793437193625253e-16
4,BLUESTARCO.BO,NESCO.BO,0.32237587980212856,0.37035515515123474,0.9280577946875187,-5.07073016054759e-17
4,BLUESTARCO.BO,SUNDARMFIN.BO,0.37789750041245623,0.4222493212986178,0.8882926040228459,1.9215398503127703e-17
4,BLUESTARCO.BO,THERMAX.BO,0.5454558472987225,0.38126165647000043,0.860457737186295,2.1083562246487344e-17
4,DRREDDY.BO,GRINDWELL.BO,0.4406279021414912,0.4735370297706611,0.7727745772172895,4.4835929840631317e-17
4,DRREDDY.BO,LUPIN.BO,0.962602194740825,0.41230460801940294,0.175549212100519,9.394194823751324e-17
4,DRREDDY.BO,NESCO.BO,0.5301198898513152,0.49388520025604066,0.6674275660485951,-5.337610695313253e-18
4,DRREDDY.BO,SUNDARMFIN.BO,0.24404975771696963,0.4481422980072092,0.7962470037801257,2.5620531337503605e-17
4,DRREDDY.BO,THERMAX.BO,0.465717352861206,0.4828170451538516,0.6901149536479761,8.113168256876142e-17
4,GRINDWELL.BO,LUPIN.BO,0.9911919327594578,0.46406954178245685,-0.16357371745963842,2.519352248187855e-16
4,GRINDWELL.BO,NESCO.BO,0.9390600639802164,0.49006397927833667,0.7003973111286697,-8.540177112501205e-17
4,GRINDWELL.BO,SUNDARMFIN.BO,0.9156172851861977,0.45079650286298184,0.7863590949080104,-2.5620531337503605e-17
4,GRINDWELL.BO,THERMAX.BO,0.19252085925247986,0.37767947359062726,0.9445033572761208,4.9106018396881916e-17
4,LUPIN.BO,NESCO.BO,0.6054528387010241,0.45110508745088557,-0.055371302588084384,8.540177112501205e-17
4,LUPIN.BO,SUNDARMFIN.BO,0.7690909581439239,0.44025383151339637,0.20025324216997983,-1.7080354225002403e-17
4,LUPIN.BO,THERMAX.BO,0.6101449982031665,0.4525749963101515,-0.045748935787066604,2.647454904875373e-16
4,NESCO.BO,SUNDARMFIN.BO,0.2985046049459138,0.45368511046829024,0.8806239778883185,1.2673489394684401e-16
4,NESCO.BO,THERMAX.BO,0.6156517156934672,0.4691663132140926,0.7017698253701001,2.925010661031662e-16
4,SUNDARMFIN.BO,THERMAX.BO,0.3629228505328369,0.42662924549880205,0.8102740881527358,4.056584128438071e-17
5,EXIDEIND.BO,UNITDSPR.BO,0.593564723855119,0.48013883960597725,0.3532382462648707,3.0531133177191805e-16
5,EXIDEIND.BO,VOLTAS.BO,0.4714410572730964,0.4663392790513183,0.49757384804126015,3.1171646460629383e-16
5,UNITDSPR.BO,VOLTAS.BO,0.13628437729921422,0.43305739979184193,0.7183998041461918,5.55111512312578e-17
6,EXCELINDUS.BO,JAYAGROGN.BO,0.7978479425680791,0.5285451080399344,0.48455334123394606,1.366428338000193e-16
6,EXCELINDUS.BO,MANALIPETC.BO,0.5987370736685746,0.4798312712460218,0.6815891020891995,-3.629575272813011e-17
