,Security Id,Security Name,Group,Industry
2488,ORTEL,Ortel Communications Ltd,B ,Broadcasting &amp; Cable TV
2490,SSPNFIN,SSPN Finance Ltd,M ,Other Financial Services
2491,FRASER,Fraser and Company Ltd,XT,Comm.Trading  &amp; Distribution
2493,AGIIL,AGI Infra Ltd,M ,Realty
2494,BKMINDST,BKM Industries Ltd,B ,Containers &amp; Packaging
2499,INOXWIND,Inox Wind Ltd,B ,Heavy Electrical Equipment
2500,RAJPUTANA,Rajputana Investment and Finance Ltd,XT,Finance (including NBFCs)
2501,AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,XT,Textiles
2503,FILTRA,Filtra Consultants and Engineers Ltd,M ,Utilities:Non-Elec.
2504,ATHCON,Athena Constructions Ltd,M ,Realty
2505,NORTHLINK,Northlink Fiscal and Capital Services Ltd,XT,Finance (including NBFCs)
2507,OPCHAINS,O. P. Chains Ltd,M ,Comm.Trading  &amp; Distribution
2509,JAINMARMO,Jain Marmo Industries Ltd,XT,Construction Materials
2511,PALCO,Palco Metals Ltd,XT,Aluminium
2512,SARVOTTAM,Sarvottam Finvest Ltd,XT,Finance (including NBFCs)
2513,MEP,MEP Infrastructure Developers Ltd,B ,Roads &amp; Highways
2515,UFO,UFO Moviez India Ltd,B ,Broadcasting &amp; Cable TV
2516,ICSL,Integrated Capital Services Ltd,XT,Consulting Services
2517,PNCINFRA,PNC Infratech Ltd,B ,Roads &amp; Highways
2519,INDRAIND,Indra Industries Ltd,XT,Fertilizers
2520,HAWAENG,Hawa Engineers Ltd,XT,Industrial Machinery
2521,ADHBHUTIN,Adhbhut Infrastructure Ltd,XT,Realty
2522,CAPFIN,Capfin India Ltd,XT,Other Financial Services
2525,SATIA,Satia Industries Ltd,XT,Paper &amp; Paper Products
2526,GVBL,Genomic Valley Biotech Ltd,XT,Biotechnology
2527,MANPASAND,Manpasand Beverages Ltd,B ,Non-alcoholic Beverages
2529,MUL,Mauria Udyog Ltd,XT,Other Industrial Products
2530,MISHKA,Mishka Exim Ltd,B ,Other Apparels &amp; Accessories
2531,SPORTKING,Sportking India Ltd,XT,Textiles
2536,LOYAL,Loyal Equipments Ltd,M ,Industrial Machinery
2537,GGPL,Gala Global Products Ltd,B ,Comm.Printing/Stationery
2540,JEL,Jyotirgamya Enterprises Ltd,XT,Comm.Trading  &amp; Distribution
2541,BALKRISHNA,Balkrishna Paper Mills Ltd,B ,Containers &amp; Packaging
